id,referência,produto,ean,valor,imagemUrl,cor,tamanho,grupo,subgrupo,altura,largura,comprimento,Circunferência do Pescoço,Circunferência do Tórax
34,35296,Kit Coleira Sweet,7908260335296,57.90,https://static.wixstatic.com/media/f60e49_5f882218c82d4a009e01ddd7a2c0a828~mv2.jpg,Azul,G,Coleira/Cinto/Peitoral,Coleira,,,
35,35289,Kit Coleira Sweet,7908260335289,50.90,,Azul,M,Coleira/Cinto/Peitoral,Coleira,,,
36,35272,Kit Coleira Sweet,7908260335272,41.90,,Azul,P,Coleira/Cinto/Peitoral,Coleira,,,
37,35326,Kit Coleira Sweet,7908260335326,57.90,https://static.wixstatic.com/media/f60e49_0abb80150f054b228cead721bf0e8edd~mv2.jpg,Rosa,G,Coleira/Cinto/Peitoral,Coleira,,,
38,35319,Kit Coleira Sweet,7908260335319,50.90,,Rosa,M,Coleira/Cinto/Peitoral,Coleira,,,
39,35302,Kit Coleira Sweet,7908260335302,41.90,,Rosa,P,Coleira/Cinto/Peitoral,Coleira,,,
40,35418,Kit Coleira Vintage,7908260335418,57.90,https://static.wixstatic.com/media/f60e49_b8c65df8e2fb441f9b274ab60f016002~mv2.jpg,Azul,G,Coleira/Cinto/Peitoral,Coleira,,,
41,35401,Kit Coleira Vintage,7908260335401,50.90,,Azul,M,Coleira/Cinto/Peitoral,Coleira,,,
42,35395,Kit Coleira Vintage,7908260335395,41.90,,Azul,P,Coleira/Cinto/Peitoral,Coleira,,,
43,35449,Kit Coleira Vintage,7908260335449,57.90,https://static.wixstatic.com/media/f60e49_0f87728dfac244c0910f0717b5802d1f~mv2.jpg,Vermelho,G,Coleira/Cinto/Peitoral,Coleira,,,
44,35432,Kit Coleira Vintage,7908260335432,50.90,,Vermelho,M,Coleira/Cinto/Peitoral,Coleira,,,
45,35425,Kit Coleira Vintage,7908260335425,41.90,,Vermelho,P,Coleira/Cinto/Peitoral,Coleira,,,
46,34664,Kit Peitoral 8 Azul,7908260334664,72.90,https://static.wixstatic.com/media/f60e49_6a72b1b9c069407c9c70f639a09fde8d~mv2.jpg,Azul,G,Coleira/Cinto/Peitoral,Peitoral 8,,,
47,34657,Kit Peitoral 8 Azul,7908260334657,62.90,https://static.wixstatic.com/media/f60e49_ef4390c0691848deaf1c5574d4ef1a6a~mv2.jpg,Azul,M,Coleira/Cinto/Peitoral,Peitoral 8,,,
48,34640,Kit Peitoral 8 Azul,7908260334640,51.90,https://static.wixstatic.com/media/f60e49_764eeeb245534a6eb42432028aef2d90~mv2.jpg,Azul,P,Coleira/Cinto/Peitoral,Peitoral 8,,,
49,34510,Kit Peitoral 8 Cinza,7908260334510,72.90,https://static.wixstatic.com/media/f60e49_d8f86928c65d406b8effd8a6e8b4b5ef~mv2.jpg,Cinza,G,Coleira/Cinto/Peitoral,Peitoral 8,,,
50,34503,Kit Peitoral 8 Cinza,7908260334503,62.90,,Cinza,M,Coleira/Cinto/Peitoral,Peitoral 8,,,
51,34497,Kit Peitoral 8 Cinza,7908260334497,51.90,,Cinza,P,Coleira/Cinto/Peitoral,Peitoral 8,,,
52,34428,Kit Peitoral 8 Happy Dog,7908260334428,72.90,https://static.wixstatic.com/media/f60e49_fa169ba1356845b1807f90d1f16e8855~mv2.jpg,Amarelo,G,Coleira/Cinto/Peitoral,Peitoral 8,,,
53,34411,Kit Peitoral 8 Happy Dog,7908260334411,62.90,,Amarelo,M,Coleira/Cinto/Peitoral,Peitoral 8,,,
54,34404,Kit Peitoral 8 Happy Dog,7908260334404,51.90,,Amarelo,P,Coleira/Cinto/Peitoral,Peitoral 8,,,
55,34541,Kit Peitoral 8 London,7908260334541,72.90,https://static.wixstatic.com/media/f60e49_e339bb091d624c6f98f848bde937e6fa~mv2.jpg,Azul,G,Coleira/Cinto/Peitoral,Peitoral 8,,,
56,34534,Kit Peitoral 8 London,7908260334534,62.90,,Azul,M,Coleira/Cinto/Peitoral,Peitoral 8,,,
57,34527,Kit Peitoral 8 London,7908260334527,51.90,,Azul,P,Coleira/Cinto/Peitoral,Peitoral 8,,,
58,34633,Kit Peitoral 8 Militar,7908260334633,72.90,https://static.wixstatic.com/media/f60e49_2bdf5d899b9b4cb1b2bcc0ec71de15c1~mv2.jpg,Verde,G,Coleira/Cinto/Peitoral,Peitoral 8,,,
59,34626,Kit Peitoral 8 Militar,7908260334626,62.90,,Verde,M,Coleira/Cinto/Peitoral,Peitoral 8,,,
60,34619,Kit Peitoral 8 Militar,7908260334619,51.90,,Verde,P,Coleira/Cinto/Peitoral,Peitoral 8,,,
61,34398,Kit Peitoral 8 Monkey,7908260334398,72.90,https://static.wixstatic.com/media/f60e49_ef788283e5bb4ffb9cc8677cfdc6090b~mv2.jpg,Azul,G,Coleira/Cinto/Peitoral,Peitoral 8,,,
62,34381,Kit Peitoral 8 Monkey,7908260334381,62.90,,Azul,M,Coleira/Cinto/Peitoral,Peitoral 8,,,
63,34374,Kit Peitoral 8 Monkey,7908260334374,51.90,,Azul,P,Coleira/Cinto/Peitoral,Peitoral 8,,,
64,35623,Kit Peitoral 8 Navy,7908260335623,72.90,https://static.wixstatic.com/media/f60e49_48b5dc2569f14fe58a2f342aab5ccc19~mv2.jpg,Azul/Vermelho,G,Coleira/Cinto/Peitoral,Peitoral 8,,,
65,35616,Kit Peitoral 8 Navy,7908260335616,62.90,,Azul/Vermelho,M,Coleira/Cinto/Peitoral,Peitoral 8,,,
66,35609,Kit Peitoral 8 Navy,7908260335609,51.90,,Azul/Vermelho,P,Coleira/Cinto/Peitoral,Peitoral 8,,,
67,34367,Kit Peitoral 8 Neon,7908260334367,72.90,https://static.wixstatic.com/media/f60e49_87515baefed94333ac40ff85256fa770~mv2.jpg,Rosa,G,Coleira/Cinto/Peitoral,Peitoral 8,,,
68,34350,Kit Peitoral 8 Neon,7908260334350,62.90,,Rosa,M,Coleira/Cinto/Peitoral,Peitoral 8,,,
69,34343,Kit Peitoral 8 Neon,7908260334343,51.90,,Rosa,P,Coleira/Cinto/Peitoral,Peitoral 8,,,
